PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
May 03 2020,M,1,2,14,16,18,22,24,30,31,32,33,34,37,38,39,55,64,67,68,69
Apr 27 2020,M,2,3,8,9,10,14,26,29,31,32,35,44,46,47,51,52,53,58,65,70
Apr 26 2020,M,3,10,24,26,27,30,31,33,41,42,43,45,46,48,50,52,54,58,60,65
Apr 25 2020,M,6,10,18,20,25,28,34,35,39,40,44,47,51,55,58,59,63,64,67,69
Apr 24 2020,M,3,7,11,12,13,15,18,19,22,23,26,28,29,33,37,50,57,61,63,70
Apr 23 2020,M,3,6,8,10,16,21,23,28,32,34,35,36,40,50,52,53,55,57,63,64
Apr 22 2020,M,1,6,8,15,16,24,31,32,33,34,40,41,46,49,56,57,61,64,65,68
Apr 21 2020,M,4,6,7,12,13,15,20,25,26,31,32,34,36,40,41,45,49,51,53,56
Apr 20 2020,M,1,4,5,6,7,11,12,16,19,32,33,35,36,39,42,51,57,60,62,66
Apr 19 2020,M,4,8,12,17,18,23,24,26,32,34,37,40,42,45,47,52,53,55,64,70
Apr 18 2020,M,5,6,7,9,19,26,34,35,37,38,45,48,51,52,53,56,64,65,68,69
Apr 17 2020,M,1,3,4,5,21,22,23,28,30,40,47,52,53,54,56,60,63,64,69,70
Apr 16 2020,M,4,6,7,12,14,18,19,20,26,28,34,35,36,38,39,40,42,65,67,68
Apr 15 2020,M,2,3,4,5,7,16,20,23,25,27,30,32,37,38,45,46,58,60,66,67
Apr 14 2020,M,3,8,9,11,13,32,33,34,37,38,39,45,46,50,53,55,56,58,63,64
Apr 13 2020,M,2,4,6,12,14,20,21,26,34,37,38,41,52,53,54,55,56,58,64,66
Apr 12 2020,M,2,3,4,5,6,18,19,20,28,35,40,41,45,49,52,58,61,62,67,70
Apr 11 2020,M,1,9,23,28,29,35,36,37,38,39,40,42,44,47,51,57,59,63,65,70
Apr 10 2020,M,2,4,8,11,13,18,23,25,27,28,30,34,35,39,41,44,51,56,64,69
Apr 09 2020,M,1,5,12,20,23,24,32,33,34,38,40,44,46,47,49,53,56,65,66,67
Apr 08 2020,M,1,8,9,13,18,23,26,28,30,31,36,38,43,46,49,51,52,60,62,69
